_key,title,price,listed_price,link
Samsung Galaxy A32 - Chính hãng,Samsung Galaxy A32 - Chính hãng,5960000,5960000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-a32-chinh-hang
Apple iPhone 12 Pro Max - 512GB - Chính hãng VN/A,Apple iPhone 12 Pro Max - 512GB - Chính hãng VN/A,37690000,43990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-max-512gb-chinh-hang-vn-a
Apple iPhone 12 Pro Max - 128GB - Chính hãng VN/A,Apple iPhone 12 Pro Max - 128GB - Chính hãng VN/A,29490000,33990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-max-128gb-chinh-hang-vn-a
Apple iPhone 12 Pro Max - 256GB - Chính hãng VN/A,Apple iPhone 12 Pro Max - 256GB - Chính hãng VN/A,31990000,37990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-max-256gb-chinh-hang-vn-a
Apple iPhone 12 Pro - 128GB - Chính hãng VN/A,Apple iPhone 12 Pro - 128GB - Chính hãng VN/A,26850000,30990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-128gb-chinh-hang-vn-a
Apple iPhone 12 Pro - 512GB - Chính hãng VN/A,Apple iPhone 12 Pro - 512GB - Chính hãng VN/A,33990000,40990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-512gb-chinh-hang-vn-a
Apple iPhone 12 Pro - 256GB - Chính hãng VN/A,Apple iPhone 12 Pro - 256GB - Chính hãng VN/A,28950000,34990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-256gb-chinh-hang-vn-a
Apple iPhone 12 - Chính hãng VN/A,Apple iPhone 12 - Chính hãng VN/A,20890000,24990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-64gb-chinh-hang-vn-a
Apple iPhone 12 - 256GB - Chính hãng VN/A,Apple iPhone 12 - 256GB - Chính hãng VN/A,25490000,28990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-256gb-chinh-hang-vn-a
Apple iPhone 12 - 128GB - Chính hãng VN/A,Apple iPhone 12 - 128GB - Chính hãng VN/A,22590000,26990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-128gb-chinh-hang-vn-a
