_key,id,label,now_price,old_price,brand,currency,description,link
56977,56977,NOKIA 230 DUAL SIM (KHÔNG KÈM THẺ NHỚ),1200000,1250000,Nokia,VND,"<p>Thiết kế nhỏ gọn, nhẹ, vừa vặn cầm tay</p><p>Mặt lưng nhôm đẹp mắt, cứng cáp và tinh tế</p><p>Camera selfie có cả đèn Flash hỗ trợ</p><p>Hai sim hai sóng thoải mái sử dụng</p><p>Giải trí đa phương tiện với radio, nghe nhạc</p><p>Dung lượng pin 1200 mAh sử dụng khoảng 2 – 4 ngày</p><p>Bàn phím dễ thao tác nhấn êm tay, ít xảy ra độ trễ phím</p>",https://www.nguyenkim.com/nokia-230-dual-sim-den-no-card.html
87815,87815,Điện thoại iPhone 11 128GB Đen,18490000,21990000,Apple,VND,"<p>Chip A13 Bionic, hệ điều hành IOS 13 kết hợp hoàn hảo</p><p>RAM 4GB, bộ nhớ trong 128GB hoạt động mượt mà, đa nhiệm</p><p>Hệ thống camera kép mới 12 MP cho góc chụp siêu rộng</p><p>Camera selfie 12 MP chụp hình ở chế độ chuyển động chậm</p><p>Màn hình IPS LCD 6.1 inch Liquid Retina hiển thị sắc nét</p><p>Pin chuẩn Li-Ion, dung lượng pin tốt, thời gian lướt web lâu</p>",https://www.nguyenkim.com/dien-thoai-iphone-11-128gb.html?pid=87815
87854,87854,Điện thoại iPhone 11 Pro Max 64GB Xanh Lá,24990000,30990000,Apple,VND,"<p>Chip A13 Bionic, hệ điều hành IOS 13 kết hợp hoàn hảo</p><p>RAM 4GB, bộ nhớ trong 64GB cho khả năng đa nhiệm tốt</p><p>Cụm 3 camera 12 MP góc chụp siêu rộng, chụp đêm tốt</p><p>Camera selfie 12 MP chụp hình ở chế độ chuyển động chậm</p><p>Màn hình OLED 6.5 inch Super Retina XDR hiển thị cực sắc nét</p><p>Pin chuẩn Li-Ion, dung lượng pin lớn, thời gian lướt web lâu</p>",https://www.nguyenkim.com/dien-thoai-iphone-11-pro-max-64gb-vi.html
87866,87866,Điện thoại iPhone 11 Pro Max 64GB Vàng Đồng,24990000,30990000,Apple,VND,"<p>Chip A13 Bionic, hệ điều hành IOS 13 kết hợp hoàn hảo</p><p>RAM 4GB, bộ nhớ trong 64GB cho khả năng đa nhiệm rất tốt</p><p>Cụm 3 camera 12 MP góc chụp siêu rộng, chụp đêm tốt</p><p>Camera selfie 12 MP chụp hình ở chế độ chuyển động chậm</p><p>Màn hình OLED 6.5 inch Super Retina XDR hiển thị cực sắc nét</p><p>Pin chuẩn Li-Ion, dung lượng pin lớn, thời gian lướt web lâu</p>",https://www.nguyenkim.com/dien-thoai-iphone-11-pro-max-64gb-vi-3.html
90045,90045,Điện thoại Vivo Y11 Đỏ San Hô,2790000,2990000,Vivo,VND,"<p>Màn hình tràn Halo 6.35 inch góc nhìn rộng, đẹp mắt</p><p>AI Face Beauty camera trước 8MP selfie đẹp tự nhiên</p><p>Camera sau kép AI 13MP, 2MP cho ra bức ảnh ấn tượng</p><p>Dung lượng pin khủng 5000mAh thỏa thích sử dụng</p><p>Mở khóa vân tay mặt lưng nhanh chóng, an toàn</p><p>Bộ vi xử lý Snapdragon 439 8 nhân trải nghiệm mượt mà</p>",https://www.nguyenkim.com/vivo-y11-do-san-ho.html
90048,90048,Điện thoại Vivo Y11 Xanh Ngọc Bích,2790000,2990000,Vivo,VND,"<p>Màn hình tràn Halo 6.35 inch góc nhìn rộng, đẹp mắt</p><p>AI Face Beauty camera trước 8MP selfie đẹp tự nhiên</p><p>Camera sau kép AI 13MP, 2MP cho ra bức ảnh ấn tượng</p><p>Dung lượng pin khủng 5000mAh thỏa thích sử dụng</p><p>Mở khóa vân tay mặt lưng nhanh chóng, an toàn</p>",https://www.nguyenkim.com/vivo-y11-xanh-ngoc-bich.html
90051,90051,Điện thoại Vivo Y19 Đen Phong Vân,4590000,4990000,Vivo,VND,"<p>Màn hình tràn Halo 6.53'' FHD+ thỏa mãn mọi góc nhìn</p><p>Dung lượng pin 5000mAh, hỗ trợ sạc nhanh, sạc ngược</p><p>Lưu trữ nhiều hình ảnh, video, ứng dụng hơn với RAM 128GB</p><p>Bộ 3 camera 16MP+8MP+2MP bắt trọn mọi khoảnh khắc</p><p>Selfie ấn tượng với camera trước 16MP kết hợp làm đẹp AI</p><p>Chip MediaTek MT6768, ROM 6GB cho hiệu năng mạnh mẽ</p>",https://www.nguyenkim.com/vivo-y19-den.html
90054,90054,Vivo Y19 (6GB/128GB) Trắng Sương Mai,4590000,4990000,Vivo,VND,"<p>Thiết kế mặt cong 3D thoải mái cầm nắm</p><p>Màn hình 6.53 inch Full HD+, tỉ lệ hiển thị 90.3%</p><p>3 camera chuyên nghiệp bắt trọn mọi khoảnh khắc</p><p>Camera selfie 16MP nhiều chế độ làm đẹp</p><p>Pin khủng 5000 mAh  dùng cả ngày dài</p><p>Công nghệ sạc kép sạc nhanh với công suất 18W</p><p>Hỗ trợ sạc ngược chỉ cần cáp OTG</p><p>Chơi game mượt mà, tính năng thay đổi giọng nói</p>",https://www.nguyenkim.com/vivo-y19-trang.html
90293,90293,Nokia 230 DS VN Dark Blue (2018),1200000,1250000,Nokia,VND,"<p>Thiết kế nhỏ gọn, nhẹ, vừa vặn cầm tay</p><p>Mặt lưng nhôm đẹp mắt, cứng cáp và tinh tế</p><p>Camera selfie có cả đèn Flash hỗ trợ</p><p>Hai sim hai sóng thoải mái sử dụng</p><p>Giải trí đa phương tiện với radio, nghe nhạc</p><p>Thẻ nhớ 32GB, kết nối 2G, Bluetooth và có sẵn Facebook</p><p>Dung lượng pin 1200 mAh sử dụng khoảng 2 – 4 ngày</p><p>Bàn phím dễ thao tác, nhấn êm tay, ít xảy ra độ trễ phím</p>",https://www.nguyenkim.com/nokia-230-ds-vn-dark-blue-2018.html
90356,90356,iPhone 11 Pro 512GB Xanh Lá,29990000,37990000,Apple,VND,"<p>Chip A13 Bionic, hệ điều hành IOS 13 kết hợp hoàn hảo</p><p>RAM 4GB, bộ nhớ trong 512GB cho khả năng đa nhiệm rất tốt</p><p>Cụm 3 camera 12 MP góc chụp siêu rộng, chụp đêm tốt</p><p>Camera selfie 12 MP chụp hình ở chế độ chuyển động chậm</p><p>Màn hình OLED 5.8 inch Super Retina XDR hiển thị cực sắc nét</p><p>Pin chuẩn Li-Ion, dung lượng pin tốt, thời gian lướt web lâu</p>",https://www.nguyenkim.com/dien-thoai-iphone-11-512gb.html
